accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,top3_accuracy,model_family,n_diag_sec,n_proc_sec,main_hyperparameters,seconds
0.6742160278745645,0.5795985134487707,0.6678183743405319,0.5979853578771115,0.5858999576062683,0.914198606271777,Random Forest,24,2,"300 trees, balanced_subsample, sqrt features",1.57
0.6772648083623694,0.5789955828316674,0.6696216403745168,0.5936527426919045,0.5875968059986305,0.9128919860627178,Random Forest,20,2,"300 trees, balanced_subsample, sqrt features",1.49
0.6759581881533101,0.5769393628366992,0.6657722272716261,0.6099009276648222,0.578849561915298,0.9259581881533101,Random Forest,10,6,"300 trees, balanced_subsample, sqrt features",1.6
0.6798780487804879,0.5763361229937849,0.6682088948592663,0.5983468922151609,0.580931096643552,0.9263937282229965,Random Forest,8,6,"300 trees, balanced_subsample, sqrt features",1.63
0.6733449477351916,0.5759479382532184,0.6626461266537276,0.5956847442560034,0.583236107297035,0.9220383275261324,Random Forest,12,4,"300 trees, balanced_subsample, sqrt features",1.55
0.676829268292683,0.575845781258661,0.6634838674615167,0.6087866033572304,0.5807650106783799,0.9172473867595818,Random Forest,12,10,"300 trees, balanced_subsample, sqrt features",1.68
0.6724738675958188,0.5751421281038798,0.6609917869593073,0.598109507907522,0.5832528766642852,0.9229094076655052,Random Forest,6,4,"300 trees, balanced_subsample, sqrt features",1.46
0.6729094076655052,0.5749286281410705,0.6584395914699692,0.6068742550493025,0.5813169967081097,0.9220383275261324,Random Forest,6,8,"300 trees, balanced_subsample, sqrt features",1.66
0.6711672473867596,0.57338207946608,0.6632506388004787,0.5877965082386192,0.5822345647127258,0.9107142857142857,Random Forest,16,2,"300 trees, balanced_subsample, sqrt features",1.49
0.6681184668989547,0.5727988444531701,0.6564378695536334,0.5982145052746319,0.5771190406785334,0.9155052264808362,Random Forest,16,6,"300 trees, balanced_subsample, sqrt features",1.59
0.6729094076655052,0.5722996456830203,0.6584989868365307,0.6024465261671299,0.5799091831999069,0.9207317073170732,Random Forest,6,10,"300 trees, balanced_subsample, sqrt features",1.57
0.6685540069686411,0.571238586461716,0.6572008532846121,0.5990054890388992,0.5750146445548906,0.9202961672473867,Random Forest,4,8,"300 trees, balanced_subsample, sqrt features",1.53
0.6755226480836237,0.5709090530572997,0.6687492122486125,0.5972380394270781,0.5801852350955639,0.8976480836236934,Random Forest,24,0,"300 trees, balanced_subsample, sqrt features",1.52
